
step:0  loss_train:2.0213065147399902  acc1_train:22.672527313232422  loss_val:2.0974345207214355  acc1_val:21.27685546875  time_per_batch:0.9367336283127466
step:1  loss_train:1.6575934886932373  acc1_train:37.75431442260742  loss_val:1.5631191730499268  acc1_val:43.798828125  time_per_batch:0.9430151929457983
step:2  loss_train:1.394327163696289  acc1_train:49.05192184448242  loss_val:1.6382880210876465  acc1_val:46.9970703125  time_per_batch:0.9453945408264796
step:3  loss_train:1.177945613861084  acc1_train:57.525634765625  loss_val:1.9040021896362305  acc1_val:33.837890625  time_per_batch:0.9462140301863352
step:4  loss_train:1.0357022285461426  acc1_train:63.19580078125  loss_val:2.4493203163146973  acc1_val:37.0361328125  time_per_batch:0.9486847718556722
step:5  loss_train:0.925404965877533  acc1_train:67.51708984375  loss_val:2.1088366508483887  acc1_val:35.92529296875  time_per_batch:0.9460491289695104
step:6  loss_train:0.8048175573348999  acc1_train:72.05607604980469  loss_val:1.7525107860565186  acc1_val:44.88525390625  time_per_batch:0.9493704984585444
step:7  loss_train:0.7426432371139526  acc1_train:74.15568542480469  loss_val:1.5330195426940918  acc1_val:55.94482421875  time_per_batch:0.9498039484024048
step:8  loss_train:0.7114644050598145  acc1_train:75.26042175292969  loss_val:0.9904079437255859  acc1_val:67.66357421875  time_per_batch:0.9498494565486908
step:9  loss_train:0.6880924701690674  acc1_train:76.16374206542969  loss_val:3.7903380393981934  acc1_val:10.90087890625  time_per_batch:0.9499873568614324
step:10  loss_train:0.6298279762268066  acc1_train:78.314208984375  loss_val:1.5777897834777832  acc1_val:50.9033203125  time_per_batch:0.9487538437048594
step:11  loss_train:0.6027654409408569  acc1_train:79.290771484375  loss_val:2.3964922428131104  acc1_val:19.1650390625  time_per_batch:0.948742225766182
step:12  loss_train:0.5825974941253662  acc1_train:79.79533386230469  loss_val:2.9572925567626953  acc1_val:23.84033203125  time_per_batch:0.9511730968952179
step:13  loss_train:0.570859968662262  acc1_train:80.45247650146484  loss_val:2.4334676265716553  acc1_val:35.5224609375  time_per_batch:0.9515731086333593
step:14  loss_train:0.5711504817008972  acc1_train:80.63761901855469  loss_val:1.218314290046692  acc1_val:63.0126953125  time_per_batch:0.9518075734376907
step:15  loss_train:0.5410128235816956  acc1_train:81.43107604980469  loss_val:0.7690194249153137  acc1_val:75.64697265625  time_per_batch:0.9488594879706701
step:16  loss_train:0.5144036412239075  acc1_train:82.244873046875  loss_val:3.175783157348633  acc1_val:10.05859375  time_per_batch:0.9524651418129603
step:17  loss_train:0.5103175044059753  acc1_train:82.52360534667969  loss_val:2.7270326614379883  acc1_val:10.09521484375  time_per_batch:0.9493191043535868
step:18  loss_train:0.49047836661338806  acc1_train:83.233642578125  loss_val:2.9971108436584473  acc1_val:10.07080078125  time_per_batch:0.9499068409204483
step:19  loss_train:0.465692400932312  acc1_train:83.837890625  loss_val:2.355344772338867  acc1_val:17.90771484375  time_per_batch:0.94980921347936
step:20  loss_train:0.4375321865081787  acc1_train:84.881591796875  loss_val:2.7101781368255615  acc1_val:12.80517578125  time_per_batch:0.9512950479984283
step:21  loss_train:0.4218350350856781  acc1_train:85.491943359375  loss_val:2.752516746520996  acc1_val:10.15625  time_per_batch:0.9525326291720072
step:22  loss_train:0.41449522972106934  acc1_train:85.69132995605469  loss_val:2.34385085105896  acc1_val:11.3037109375  time_per_batch:0.9530967424313227
step:23  loss_train:0.40658891201019287  acc1_train:85.87239837646484  loss_val:3.7312614917755127  acc1_val:11.3525390625  time_per_batch:0.951207642753919
step:24  loss_train:0.39258667826652527  acc1_train:86.42985534667969  loss_val:9.056524276733398  acc1_val:9.9853515625  time_per_batch:0.9508133381605148
step:25  loss_train:0.4062148332595825  acc1_train:85.80525970458984  loss_val:3.2728147506713867  acc1_val:10.19287109375  time_per_batch:0.9492722898721695
step:26  loss_train:0.38986366987228394  acc1_train:86.44612884521484  loss_val:1.2687430381774902  acc1_val:59.423828125  time_per_batch:0.9504745950301489
step:27  loss_train:0.36674994230270386  acc1_train:87.15007019042969  loss_val:0.8206558227539062  acc1_val:73.49853515625  time_per_batch:0.9487062791983286
step:28  loss_train:0.3595040440559387  acc1_train:87.58748626708984  loss_val:3.229856252670288  acc1_val:15.0146484375  time_per_batch:0.950666164358457
step:29  loss_train:0.36828768253326416  acc1_train:87.11344909667969  loss_val:2.8211324214935303  acc1_val:10.65673828125  time_per_batch:0.9500560114781061
step:30  loss_train:0.38459834456443787  acc1_train:86.70858001708984  loss_val:3.5391759872436523  acc1_val:18.17626953125  time_per_batch:0.9520577838023504
step:31  loss_train:0.6216754913330078  acc1_train:80.42399597167969  loss_val:2.3210813999176025  acc1_val:27.40478515625  time_per_batch:0.9526254733403524
step:32  loss_train:0.3690512180328369  acc1_train:87.40438079833984  loss_val:2.073178768157959  acc1_val:29.638671875  time_per_batch:0.9499843070904413
step:33  loss_train:0.3295464515686035  acc1_train:88.68205261230469  loss_val:2.6870813369750977  acc1_val:19.1650390625  time_per_batch:0.9504993458588918
step:34  loss_train:0.3370700776576996  acc1_train:88.42570495605469  loss_val:2.5048067569732666  acc1_val:20.361328125  time_per_batch:0.9494653393824896
step:35  loss_train:0.3181513845920563  acc1_train:89.02181243896484  loss_val:2.1940765380859375  acc1_val:28.9794921875  time_per_batch:0.9502080877621969
step:36  loss_train:0.2997985780239105  acc1_train:89.66064453125  loss_val:1.8029396533966064  acc1_val:55.55419921875  time_per_batch:0.9503858139117559
step:37  loss_train:0.2965984642505646  acc1_train:89.60164642333984  loss_val:1.0922363996505737  acc1_val:60.85205078125  time_per_batch:0.9516554077466329
step:38  loss_train:0.29261159896850586  acc1_train:89.70947265625  loss_val:4.174042224884033  acc1_val:10.1318359375  time_per_batch:0.9519552985827128
step:39  loss_train:0.28691574931144714  acc1_train:90.032958984375  loss_val:2.613534927368164  acc1_val:15.93017578125  time_per_batch:0.9501477678616842
step:40  loss_train:0.2692736089229584  acc1_train:90.594482421875  loss_val:1.2166774272918701  acc1_val:61.474609375  time_per_batch:0.9492683758338293
step:41  loss_train:0.25612232089042664  acc1_train:90.92204284667969  loss_val:0.6701561808586121  acc1_val:78.173828125  time_per_batch:0.951468269030253
step:42  loss_train:0.24796465039253235  acc1_train:91.29435729980469  loss_val:1.0580074787139893  acc1_val:67.4072265625  time_per_batch:0.9528637925783793
step:43  loss_train:0.24002137780189514  acc1_train:91.64225769042969  loss_val:0.5176125764846802  acc1_val:83.8134765625  time_per_batch:0.9554986904064814
step:44  loss_train:0.2519479990005493  acc1_train:91.19670104980469  loss_val:1.35728120803833  acc1_val:66.02783203125  time_per_batch:0.9505066126585007
step:45  loss_train:0.2527840733528137  acc1_train:91.16414642333984  loss_val:3.802377462387085  acc1_val:19.54345703125  time_per_batch:0.9529638340075811
step:46  loss_train:0.23877304792404175  acc1_train:91.5283203125  loss_val:2.3786144256591797  acc1_val:41.6259765625  time_per_batch:0.9565088699261347
step:47  loss_train:0.2216997593641281  acc1_train:92.218017578125  loss_val:0.6246296167373657  acc1_val:80.126953125  time_per_batch:0.9512032171090444
step:48  loss_train:0.2241535484790802  acc1_train:92.13053894042969  loss_val:0.6221564412117004  acc1_val:80.11474609375  time_per_batch:0.9521883775790533
step:49  loss_train:0.2214878797531128  acc1_train:92.28719329833984  loss_val:1.8756089210510254  acc1_val:44.95849609375  time_per_batch:0.9536014546950659
step:50  loss_train:0.22796641290187836  acc1_train:91.92301940917969  loss_val:1.989879846572876  acc1_val:36.4990234375  time_per_batch:0.9524212976296743
step:51  loss_train:0.22008423507213593  acc1_train:92.31364440917969  loss_val:3.516073226928711  acc1_val:10.29052734375  time_per_batch:0.9491077065467834
step:52  loss_train:0.20820896327495575  acc1_train:92.63102722167969  loss_val:1.299031376838684  acc1_val:58.88671875  time_per_batch:0.952440157532692
step:53  loss_train:0.2035410851240158  acc1_train:92.81819915771484  loss_val:0.916918158531189  acc1_val:73.6572265625  time_per_batch:0.9504221727450689
step:54  loss_train:0.206735759973526  acc1_train:92.75716400146484  loss_val:0.7441022992134094  acc1_val:76.77001953125  time_per_batch:0.9505515495936075
step:55  loss_train:0.21014130115509033  acc1_train:92.53133392333984  loss_val:3.876516103744507  acc1_val:13.31787109375  time_per_batch:0.9514422118663788
step:56  loss_train:0.20404478907585144  acc1_train:92.681884765625  loss_val:2.373257875442505  acc1_val:33.0078125  time_per_batch:0.9497278481721878
step:57  loss_train:0.19258123636245728  acc1_train:93.19865417480469  loss_val:1.007437825202942  acc1_val:69.1650390625  time_per_batch:0.951560894648234
step:58  loss_train:0.20099908113479614  acc1_train:93.04606628417969  loss_val:1.4218602180480957  acc1_val:57.80029296875  time_per_batch:0.9499761362870535
step:59  loss_train:0.21524642407894135  acc1_train:92.34619140625  loss_val:1.191843032836914  acc1_val:61.60888671875  time_per_batch:0.9509803801774979
step:60  loss_train:0.20345841348171234  acc1_train:92.86296081542969  loss_val:2.0278737545013428  acc1_val:40.02685546875  time_per_batch:0.9532800962527593
step:61  loss_train:0.19070474803447723  acc1_train:93.1884765625  loss_val:2.364816904067993  acc1_val:38.916015625  time_per_batch:0.9504956404368082
step:62  loss_train:0.18990635871887207  acc1_train:93.31258392333984  loss_val:2.149527072906494  acc1_val:48.14453125  time_per_batch:0.949442500869433
step:63  loss_train:0.1847449541091919  acc1_train:93.44482421875  loss_val:4.293094635009766  acc1_val:15.56396484375  time_per_batch:0.951853021979332
step:64  loss_train:0.17919933795928955  acc1_train:93.57096862792969  loss_val:1.4900214672088623  acc1_val:68.0419921875  time_per_batch:0.9510419319073359
step:65  loss_train:0.18968838453292847  acc1_train:93.31462097167969  loss_val:4.868189811706543  acc1_val:19.20166015625  time_per_batch:0.9516449371973673
step:66  loss_train:0.19180838763713837  acc1_train:93.39599609375  loss_val:3.440199613571167  acc1_val:10.05859375  time_per_batch:0.9515018910169601
step:67  loss_train:0.17136499285697937  acc1_train:93.88224792480469  loss_val:0.8428494930267334  acc1_val:78.1005859375  time_per_batch:0.9514066129922867
step:68  loss_train:0.18085956573486328  acc1_train:93.68693542480469  loss_val:0.5820438265800476  acc1_val:82.8369140625  time_per_batch:0.950429325302442
step:69  loss_train:0.17687073349952698  acc1_train:93.69914245605469  loss_val:3.2393505573272705  acc1_val:18.7744140625  time_per_batch:0.9504538973172506
step:70  loss_train:0.17698685824871063  acc1_train:93.68693542480469  loss_val:3.8710885047912598  acc1_val:15.9423828125  time_per_batch:0.954511488477389
step:71  loss_train:0.16381706297397614  acc1_train:94.14266204833984  loss_val:1.0054219961166382  acc1_val:72.314453125  time_per_batch:0.9488964776198069
step:72  loss_train:0.15488368272781372  acc1_train:94.49666595458984  loss_val:0.899697482585907  acc1_val:71.32568359375  time_per_batch:0.951460043589274
step:73  loss_train:0.1446530818939209  acc1_train:94.77742767333984  loss_val:2.2700915336608887  acc1_val:54.00390625  time_per_batch:0.9530482490857443
step:74  loss_train:0.15443609654903412  acc1_train:94.57601165771484  loss_val:4.342193603515625  acc1_val:18.15185546875  time_per_batch:0.9544405539830526
step:75  loss_train:0.15876707434654236  acc1_train:94.32170104980469  loss_val:1.4533811807632446  acc1_val:65.234375  time_per_batch:0.9498173346122106
step:76  loss_train:0.1565382033586502  acc1_train:94.41935729980469  loss_val:2.1317026615142822  acc1_val:36.34033203125  time_per_batch:0.9502941618363062
step:77  loss_train:0.14682593941688538  acc1_train:94.80998229980469  loss_val:2.164919137954712  acc1_val:42.0166015625  time_per_batch:0.9496502727270126
step:78  loss_train:0.14594559371471405  acc1_train:94.81201171875  loss_val:1.6769981384277344  acc1_val:55.11474609375  time_per_batch:0.9503447612126669
step:79  loss_train:0.1375928372144699  acc1_train:95.11922454833984  loss_val:3.7746145725250244  acc1_val:28.33251953125  time_per_batch:0.9495265434185663
step:80  loss_train:0.13259252905845642  acc1_train:95.25350189208984  loss_val:1.8538575172424316  acc1_val:58.984375  time_per_batch:0.9499096274375916
step:81  loss_train:0.132421612739563  acc1_train:95.24333190917969  loss_val:2.03104567527771  acc1_val:53.84521484375  time_per_batch:0.9501769542694092
step:82  loss_train:0.13240090012550354  acc1_train:95.22908782958984  loss_val:2.639901876449585  acc1_val:44.03076171875  time_per_batch:0.9520435680945715
step:83  loss_train:0.1277610957622528  acc1_train:95.43864440917969  loss_val:1.9286552667617798  acc1_val:58.33740234375  time_per_batch:0.9510746896266937
step:84  loss_train:0.11762111634016037  acc1_train:95.819091796875  loss_val:4.868466377258301  acc1_val:14.09912109375  time_per_batch:0.9509298553069433
step:85  loss_train:0.1225031316280365  acc1_train:95.64616394042969  loss_val:1.342357873916626  acc1_val:62.3046875  time_per_batch:0.9498228033383688
step:86  loss_train:0.11827115714550018  acc1_train:95.84554290771484  loss_val:1.6461060047149658  acc1_val:64.66064453125  time_per_batch:0.9510481754938761
step:87  loss_train:0.11890377104282379  acc1_train:95.71940612792969  loss_val:2.154944896697998  acc1_val:55.17578125  time_per_batch:0.9502183546622595
step:88  loss_train:0.12202675640583038  acc1_train:95.74788665771484  loss_val:0.5756506323814392  acc1_val:83.1787109375  time_per_batch:0.9519641349713007
step:89  loss_train:0.10403551161289215  acc1_train:96.331787109375  loss_val:4.501944541931152  acc1_val:32.97119140625  time_per_batch:0.9493722418944041
step:90  loss_train:0.10366858541965485  acc1_train:96.28703308105469  loss_val:0.7776690721511841  acc1_val:81.9091796875  time_per_batch:0.9507109423478445
step:91  loss_train:0.10543540120124817  acc1_train:96.319580078125  loss_val:0.6970065832138062  acc1_val:82.373046875  time_per_batch:0.9529186089833578
step:92  loss_train:0.10431739687919617  acc1_train:96.282958984375  loss_val:0.6179372072219849  acc1_val:83.89892578125  time_per_batch:0.9509144425392151
step:93  loss_train:0.10192181915044785  acc1_train:96.39689636230469  loss_val:0.747154176235199  acc1_val:81.31103515625  time_per_batch:0.9480280230442683
step:94  loss_train:0.10128133744001389  acc1_train:96.41520690917969  loss_val:0.9452159404754639  acc1_val:76.7822265625  time_per_batch:0.9511367430289587
step:95  loss_train:0.10039384663105011  acc1_train:96.45589447021484  loss_val:2.7009575366973877  acc1_val:34.716796875  time_per_batch:0.9508234014113744
step:96  loss_train:0.1013454794883728  acc1_train:96.46403503417969  loss_val:0.5697121620178223  acc1_val:85.29052734375  time_per_batch:0.9508383224407831
step:97  loss_train:0.1090414971113205  acc1_train:96.12834167480469  loss_val:0.8520492315292358  acc1_val:77.978515625  time_per_batch:0.9509005049864451
step:98  loss_train:0.1153162270784378  acc1_train:95.941162109375  loss_val:0.46150824427604675  acc1_val:87.29248046875  time_per_batch:0.9511865675449371
step:99  loss_train:0.09299829602241516  acc1_train:96.65731048583984  loss_val:0.545500636100769  acc1_val:86.29150390625  time_per_batch:0.9498805999755859
step:100  loss_train:0.09377079457044601  acc1_train:96.61458587646484  loss_val:0.7606220841407776  acc1_val:81.4208984375  time_per_batch:0.9475069542725881
step:101  loss_train:0.08682118356227875  acc1_train:96.89738464355469  loss_val:0.5354253649711609  acc1_val:86.9140625  time_per_batch:0.951851616303126
step:102  loss_train:0.08420853316783905  acc1_train:96.95231628417969  loss_val:0.477934867143631  acc1_val:88.0615234375  time_per_batch:0.9535544862349828
step:103  loss_train:0.08773829787969589  acc1_train:96.88924407958984  loss_val:0.6134560108184814  acc1_val:84.31396484375  time_per_batch:0.9518014192581177
step:104  loss_train:0.08634960651397705  acc1_train:96.94417572021484  loss_val:0.47588667273521423  acc1_val:88.3544921875  time_per_batch:0.9491760929425558
step:105  loss_train:0.080929696559906  acc1_train:97.10286712646484  loss_val:6.975360870361328  acc1_val:10.4736328125  time_per_batch:0.9494542181491852
step:106  loss_train:0.09357556700706482  acc1_train:96.72444915771484  loss_val:1.1778621673583984  acc1_val:74.93896484375  time_per_batch:0.951644758383433
step:107  loss_train:0.09469969570636749  acc1_train:96.60848236083984  loss_val:7.387145519256592  acc1_val:12.2802734375  time_per_batch:0.9484333346287409
step:108  loss_train:0.07224968820810318  acc1_train:97.46907806396484  loss_val:0.5758651494979858  acc1_val:86.328125  time_per_batch:0.9496394793192545
step:109  loss_train:0.06269970536231995  acc1_train:97.77425384521484  loss_val:1.6236624717712402  acc1_val:68.20068359375  time_per_batch:0.952410896619161
step:110  loss_train:0.058199867606163025  acc1_train:97.95329284667969  loss_val:1.0629692077636719  acc1_val:76.5380859375  time_per_batch:0.9566923826932907
step:111  loss_train:0.06257043033838272  acc1_train:97.73356628417969  loss_val:4.263837814331055  acc1_val:43.24951171875  time_per_batch:0.9492084830999374
step:112  loss_train:0.07800980657339096  acc1_train:97.21883392333984  loss_val:5.955030918121338  acc1_val:25.244140625  time_per_batch:0.952537884314855
step:113  loss_train:0.0741213709115982  acc1_train:97.406005859375  loss_val:0.7209272980690002  acc1_val:83.349609375  time_per_batch:0.9521908015012741
step:114  loss_train:0.06105034798383713  acc1_train:97.8759765625  loss_val:0.8822809457778931  acc1_val:80.76171875  time_per_batch:0.9512951622406641
step:115  loss_train:0.0554254911839962  acc1_train:98.06315612792969  loss_val:2.7798666954040527  acc1_val:52.28271484375  time_per_batch:0.9514949570099512
step:116  loss_train:0.047605570405721664  acc1_train:98.27474212646484  loss_val:1.3718364238739014  acc1_val:70.263671875  time_per_batch:0.9512260556221008
step:117  loss_train:0.0472848117351532  acc1_train:98.40087890625  loss_val:1.974327564239502  acc1_val:65.02685546875  time_per_batch:0.9520691980918249
step:118  loss_train:0.049658965319395065  acc1_train:98.284912109375  loss_val:0.7383586168289185  acc1_val:84.36279296875  time_per_batch:0.9528645674387614
step:119  loss_train:0.04848909005522728  acc1_train:98.32357025146484  loss_val:1.8124701976776123  acc1_val:68.1884765625  time_per_batch:0.9533198525508245
step:120  loss_train:0.0657968744635582  acc1_train:97.711181640625  loss_val:0.6144539713859558  acc1_val:85.888671875  time_per_batch:0.9526383380095164
step:121  loss_train:0.07301172614097595  acc1_train:97.42839050292969  loss_val:0.9192131757736206  acc1_val:78.1982421875  time_per_batch:0.9511290391286215
step:122  loss_train:0.052242692559957504  acc1_train:98.17912292480469  loss_val:0.45300519466400146  acc1_val:89.36767578125  time_per_batch:0.9557527254025141
step:123  loss_train:0.05045395344495773  acc1_train:98.2666015625  loss_val:0.4546288847923279  acc1_val:89.58740234375  time_per_batch:0.953405017654101
step:124  loss_train:0.05133826285600662  acc1_train:98.17098236083984  loss_val:1.9002113342285156  acc1_val:55.9814453125  time_per_batch:0.9504081358512243
step:125  loss_train:0.04474801570177078  acc1_train:98.45378112792969  loss_val:0.84547358751297  acc1_val:80.810546875  time_per_batch:0.9542498588562012
step:126  loss_train:0.04334953427314758  acc1_train:98.45378112792969  loss_val:0.4431900382041931  acc1_val:89.68505859375  time_per_batch:0.9538687616586685
step:127  loss_train:0.042404256761074066  acc1_train:98.541259765625  loss_val:2.0033867359161377  acc1_val:57.23876953125  time_per_batch:0.9555702060461044
step:128  loss_train:0.04580932483077049  acc1_train:98.45378112792969  loss_val:0.889862060546875  acc1_val:79.9560546875  time_per_batch:0.9505549172560374
step:129  loss_train:0.046579670161008835  acc1_train:98.40901947021484  loss_val:0.6014600992202759  acc1_val:85.72998046875  time_per_batch:0.951582466562589
step:130  loss_train:0.03807089477777481  acc1_train:98.736572265625  loss_val:0.856198251247406  acc1_val:82.275390625  time_per_batch:0.9575109432140986
step:131  loss_train:0.033451780676841736  acc1_train:98.8525390625  loss_val:0.5968618988990784  acc1_val:87.14599609375  time_per_batch:0.9521222611268362
step:132  loss_train:0.0354270413517952  acc1_train:98.760986328125  loss_val:0.43372631072998047  acc1_val:90.2099609375  time_per_batch:0.9514940281709036
step:133  loss_train:0.04091421514749527  acc1_train:98.61653900146484  loss_val:0.607197105884552  acc1_val:87.43896484375  time_per_batch:0.948662261168162
step:134  loss_train:0.04167497158050537  acc1_train:98.54329681396484  loss_val:0.4607265889644623  acc1_val:89.48974609375  time_per_batch:0.9512955844402313
step:135  loss_train:0.04064754396677017  acc1_train:98.614501953125  loss_val:0.4448751211166382  acc1_val:89.83154296875  time_per_batch:0.9510054091612498
step:136  loss_train:0.027508249506354332  acc1_train:99.10888671875  loss_val:0.42683646082878113  acc1_val:90.07568359375  time_per_batch:0.950146292646726
step:137  loss_train:0.024560606107115746  acc1_train:99.12313079833984  loss_val:0.43700987100601196  acc1_val:90.46630859375  time_per_batch:0.9489447524150213
step:138  loss_train:0.025794729590415955  acc1_train:99.11906433105469  loss_val:0.41543862223625183  acc1_val:90.78369140625  time_per_batch:0.9523201435804367
step:139  loss_train:0.020810957998037338  acc1_train:99.32048034667969  loss_val:0.7320407032966614  acc1_val:85.302734375  time_per_batch:0.9504971156517664
step:140  loss_train:0.020650086924433708  acc1_train:99.267578125  loss_val:1.0395923852920532  acc1_val:80.2734375  time_per_batch:0.9504814694325129
step:141  loss_train:0.01790006272494793  acc1_train:99.4140625  loss_val:0.4871664047241211  acc1_val:89.6484375  time_per_batch:0.9506092617909113
step:142  loss_train:0.01778346858918667  acc1_train:99.41609954833984  loss_val:0.4983871579170227  acc1_val:90.13671875  time_per_batch:0.9489730298519135
step:143  loss_train:0.016246698796749115  acc1_train:99.47306823730469  loss_val:0.4657162129878998  acc1_val:90.78369140625  time_per_batch:0.9529918531576792
step:144  loss_train:0.015107952058315277  acc1_train:99.49137878417969  loss_val:0.7942162752151489  acc1_val:84.50927734375  time_per_batch:0.9496096620957056
step:145  loss_train:0.01289290189743042  acc1_train:99.60124206542969  loss_val:0.47700372338294983  acc1_val:90.0634765625  time_per_batch:0.950180763999621
step:146  loss_train:0.012364072725176811  acc1_train:99.61141204833984  loss_val:0.6864829659461975  acc1_val:87.1826171875  time_per_batch:0.952783927321434
step:147  loss_train:0.011822791770100594  acc1_train:99.639892578125  loss_val:0.4015084505081177  acc1_val:91.56494140625  time_per_batch:0.9506412148475647
step:148  loss_train:0.01022789441049099  acc1_train:99.66838073730469  loss_val:0.5473207235336304  acc1_val:89.44091796875  time_per_batch:0.9527194301287333
step:149  loss_train:0.01121763326227665  acc1_train:99.63786315917969  loss_val:0.40656301379203796  acc1_val:91.44287109375  time_per_batch:0.9478243192036947
step:150  loss_train:0.010716944932937622  acc1_train:99.658203125  loss_val:0.41945451498031616  acc1_val:91.3818359375  time_per_batch:0.9508804579575857
step:151  loss_train:0.009413016960024834  acc1_train:99.69686126708984  loss_val:0.4242059290409088  acc1_val:91.1865234375  time_per_batch:0.9510056972503662
step:152  loss_train:0.009097298607230186  acc1_train:99.71923828125  loss_val:0.40292006731033325  acc1_val:91.6748046875  time_per_batch:0.9502539187669754
step:153  loss_train:0.009910644963383675  acc1_train:99.68465423583984  loss_val:0.4428875744342804  acc1_val:91.19873046875  time_per_batch:0.95065309604009
step:154  loss_train:0.00879973266273737  acc1_train:99.72331237792969  loss_val:0.4636639952659607  acc1_val:90.85693359375  time_per_batch:0.9515467683474222
step:155  loss_train:0.008089229464530945  acc1_train:99.737548828125  loss_val:0.39112651348114014  acc1_val:92.12646484375  time_per_batch:0.9529580821593603
step:156  loss_train:0.006349395494908094  acc1_train:99.82096862792969  loss_val:0.39723002910614014  acc1_val:91.650390625  time_per_batch:0.950170616308848
step:157  loss_train:0.006504809018224478  acc1_train:99.81282806396484  loss_val:0.39844465255737305  acc1_val:91.76025390625  time_per_batch:0.9495047430197397
step:158  loss_train:0.006308920215815306  acc1_train:99.80876159667969  loss_val:0.40383726358413696  acc1_val:91.650390625  time_per_batch:0.9536791443824768
step:159  loss_train:0.004781846422702074  acc1_train:99.871826171875  loss_val:0.414474755525589  acc1_val:91.30859375  time_per_batch:0.9483451793591181
step:160  loss_train:0.005488110240548849  acc1_train:99.85758972167969  loss_val:0.39933550357818604  acc1_val:91.95556640625  time_per_batch:0.9511519571145376
step:161  loss_train:0.004889803007245064  acc1_train:99.85758972167969  loss_val:0.3874511122703552  acc1_val:92.2119140625  time_per_batch:0.950794999798139
step:162  loss_train:0.0055877952836453915  acc1_train:99.8291015625  loss_val:0.39573124051094055  acc1_val:91.89453125  time_per_batch:0.9502354562282562
step:163  loss_train:0.005261225160211325  acc1_train:99.847412109375  loss_val:0.40108707547187805  acc1_val:91.6259765625  time_per_batch:0.9505078742901484
