# nThread 1 nGpus 2 minBytes 8 maxBytes 102760448 step: 1048576(bytes) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid  16193 on         x0 device  0 [0x05] NVIDIA GeForce GTX 1080
#   Rank  1 Pid  16193 on         x0 device  1 [0x06] NVIDIA GeForce GTX 1080
#
#                                               out-of-place                       in-place          
#       size         count      type     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)               (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     int32    13.87    0.00    0.00  0e+00    13.80    0.00    0.00  4e+09
     1048584        262146     int32    165.1    6.35    6.35  0e+00    165.2    6.35    6.35  4e+09
     2097160        524290     int32    348.7    6.01    6.01  0e+00    347.6    6.03    6.03  4e+09
     3145736        786434     int32    532.9    5.90    5.90  0e+00    520.8    6.04    6.04  4e+09
     4194312       1048578     int32    712.0    5.89    5.89  0e+00    699.4    6.00    6.00  4e+09
     5242888       1310722     int32    851.0    6.16    6.16  0e+00    838.8    6.25    6.25  4e+09
     6291464       1572866     int32   1073.2    5.86    5.86  0e+00   1048.7    6.00    6.00  4e+09
     7340040       1835010     int32   1195.1    6.14    6.14  0e+00   1183.8    6.20    6.20  4e+09
     8388616       2097154     int32   1431.7    5.86    5.86  0e+00   1416.4    5.92    5.92  4e+09
     9437192       2359298     int32   1596.7    5.91    5.91  0e+00   1604.9    5.88    5.88  4e+09
    10485768       2621442     int32   1688.9    6.21    6.21  0e+00   1667.4    6.29    6.29  4e+09
    11534344       2883586     int32   1950.2    5.91    5.91  0e+00   1923.0    6.00    6.00  4e+09
    12582920       3145730     int32   2137.8    5.89    5.89  0e+00   2097.4    6.00    6.00  4e+09
    13631496       3407874     int32   2185.7    6.24    6.24  0e+00   2163.7    6.30    6.30  4e+09
    14680072       3670018     int32   2465.5    5.95    5.95  0e+00   2437.9    6.02    6.02  4e+09
    15728648       3932162     int32   2652.7    5.93    5.93  0e+00   2641.8    5.95    5.95  4e+09
    16777224       4194306     int32   2834.6    5.92    5.92  0e+00   2835.0    5.92    5.92  4e+09
    17825800       4456450     int32   2722.9    6.55    6.55  0e+00   2705.7    6.59    6.59  4e+09
    18874376       4718594     int32   2891.9    6.53    6.53  0e+00   2856.9    6.61    6.61  4e+09
    19922952       4980738     int32   3032.0    6.57    6.57  0e+00   3040.2    6.55    6.55  4e+09
    20971528       5242882     int32   3526.1    5.95    5.95  0e+00   3471.3    6.04    6.04  4e+09
    22020104       5505026     int32   3700.6    5.95    5.95  0e+00   3670.9    6.00    6.00  4e+09
    23068680       5767170     int32   3843.7    6.00    6.00  0e+00   3848.9    5.99    5.99  4e+09
    24117256       6029314     int32   4020.0    6.00    6.00  0e+00   4015.2    6.01    6.01  4e+09
    25165832       6291458     int32   4230.5    5.95    5.95  0e+00   4185.7    6.01    6.01  4e+09
    26214408       6553602     int32   3789.2    6.92    6.92  0e+00   3746.9    7.00    7.00  4e+09
    27262984       6815746     int32   3920.0    6.95    6.95  0e+00   3937.5    6.92    6.92  4e+09
    28311560       7077890     int32   4092.0    6.92    6.92  0e+00   4068.7    6.96    6.96  4e+09
    29360136       7340034     int32   4275.1    6.87    6.87  0e+00   4207.7    6.98    6.98  4e+09
    30408712       7602178     int32   4400.3    6.91    6.91  0e+00   4339.7    7.01    7.01  4e+09
    31457288       7864322     int32   4559.5    6.90    6.90  0e+00   4503.6    6.98    6.98  4e+09
    32505864       8126466     int32   4714.4    6.90    6.90  0e+00   4692.0    6.93    6.93  4e+09
    33554440       8388610     int32   4874.5    6.88    6.88  0e+00   4820.4    6.96    6.96  4e+09
    34603016       8650754     int32   5703.5    6.07    6.07  0e+00   5621.1    6.16    6.16  4e+09
    35651592       8912898     int32   5906.0    6.04    6.04  0e+00   5798.7    6.15    6.15  4e+09
    36700168       9175042     int32   6056.7    6.06    6.06  0e+00   5982.9    6.13    6.13  4e+09
    37748744       9437186     int32   6231.8    6.06    6.06  0e+00   6146.6    6.14    6.14  4e+09
    38797320       9699330     int32   6367.2    6.09    6.09  0e+00   6286.1    6.17    6.17  4e+09
    39845896       9961474     int32   6579.7    6.06    6.06  0e+00   6464.3    6.16    6.16  4e+09
    40894472      10223618     int32   6790.8    6.02    6.02  0e+00   6713.9    6.09    6.09  4e+09
    41943048      10485762     int32   6959.8    6.03    6.03  0e+00   6835.3    6.14    6.14  4e+09
    42991624      10747906     int32   7115.6    6.04    6.04  0e+00   6980.6    6.16    6.16  4e+09
    44040200      11010050     int32   7344.9    6.00    6.00  0e+00   7109.6    6.19    6.19  4e+09
    45088776      11272194     int32   7485.4    6.02    6.02  0e+00   7280.7    6.19    6.19  4e+09
    46137352      11534338     int32   7649.3    6.03    6.03  0e+00   7471.9    6.17    6.17  4e+09
    47185928      11796482     int32   7883.8    5.99    5.99  0e+00   7667.1    6.15    6.15  4e+09
    48234504      12058626     int32   7979.6    6.04    6.04  0e+00   7950.2    6.07    6.07  4e+09
    49283080      12320770     int32   8185.7    6.02    6.02  0e+00   8112.0    6.08    6.08  4e+09
    50331656      12582914     int32   8291.3    6.07    6.07  0e+00   8244.3    6.11    6.11  4e+09
    51380232      12845058     int32   4201.5   12.23   12.23  0e+00   4172.7   12.31   12.31  4e+09
    52428808      13107202     int32   4339.8   12.08   12.08  0e+00   4271.7   12.27   12.27  4e+09
    53477384      13369346     int32   4375.5   12.22   12.22  0e+00   4327.6   12.36   12.36  4e+09
    54525960      13631490     int32   4547.2   11.99   11.99  0e+00   4429.3   12.31   12.31  4e+09
    55574536      13893634     int32   4574.2   12.15   12.15  0e+00   4508.0   12.33   12.33  4e+09
    56623112      14155778     int32   4678.1   12.10   12.10  0e+00   4642.9   12.20   12.20  4e+09
    57671688      14417922     int32   4806.2   12.00   12.00  0e+00   4726.1   12.20   12.20  4e+09
    58720264      14680066     int32   4838.2   12.14   12.14  0e+00   4782.0   12.28   12.28  4e+09
    59768840      14942210     int32   4928.2   12.13   12.13  0e+00   4851.8   12.32   12.32  4e+09
    60817416      15204354     int32   5078.0   11.98   11.98  0e+00   4937.3   12.32   12.32  4e+09
    61865992      15466498     int32   5130.1   12.06   12.06  0e+00   5001.7   12.37   12.37  4e+09
    62914568      15728642     int32   5137.3   12.25   12.25  0e+00   5076.8   12.39   12.39  4e+09
    63963144      15990786     int32   5318.3   12.03   12.03  0e+00   5176.9   12.36   12.36  4e+09
    65011720      16252930     int32   5309.4   12.24   12.24  0e+00   5276.8   12.32   12.32  4e+09
    66060296      16515074     int32   5470.9   12.07   12.07  0e+00   5462.0   12.09   12.09  4e+09
    67108872      16777218     int32   5575.9   12.04   12.04  0e+00   5464.8   12.28   12.28  4e+09
    68157448      17039362     int32   5594.4   12.18   12.18  0e+00   5533.8   12.32   12.32  4e+09
    69206024      17301506     int32   5640.2   12.27   12.27  0e+00   5612.8   12.33   12.33  4e+09
    70254600      17563650     int32   5764.4   12.19   12.19  0e+00   5684.3   12.36   12.36  4e+09
    71303176      17825794     int32   5856.6   12.17   12.17  0e+00   5769.5   12.36   12.36  4e+09
    72351752      18087938     int32   5952.6   12.15   12.15  0e+00   5907.2   12.25   12.25  4e+09
    73400328      18350082     int32   6063.9   12.10   12.10  0e+00   5940.6   12.36   12.36  4e+09
    74448904      18612226     int32   6122.1   12.16   12.16  0e+00   6080.2   12.24   12.24  4e+09
    75497480      18874370     int32   6199.8   12.18   12.18  0e+00   6162.9   12.25   12.25  4e+09
    76546056      19136514     int32   6281.2   12.19   12.19  0e+00   6210.6   12.33   12.33  4e+09
    77594632      19398658     int32   6387.5   12.15   12.15  0e+00   6289.5   12.34   12.34  4e+09
    78643208      19660802     int32   6491.6   12.11   12.11  0e+00   6343.3   12.40   12.40  4e+09
    79691784      19922946     int32   6517.8   12.23   12.23  0e+00   6453.5   12.35   12.35  4e+09
    80740360      20185090     int32   6660.4   12.12   12.12  0e+00   6533.9   12.36   12.36  4e+09
    81788936      20447234     int32   6753.0   12.11   12.11  0e+00   6629.5   12.34   12.34  4e+09
    82837512      20709378     int32   6787.7   12.20   12.20  0e+00   6728.8   12.31   12.31  4e+09
    83886088      20971522     int32   6857.6   12.23   12.23  0e+00   6853.4   12.24   12.24  4e+09
    84934664      21233666     int32   6980.4   12.17   12.17  0e+00   6867.8   12.37   12.37  4e+09
    85983240      21495810     int32   7072.9   12.16   12.16  0e+00   6987.2   12.31   12.31  4e+09
    87031816      21757954     int32   7141.4   12.19   12.19  0e+00   7051.9   12.34   12.34  4e+09
    88080392      22020098     int32   7212.4   12.21   12.21  0e+00   7090.3   12.42   12.42  4e+09
    89128968      22282242     int32   7317.9   12.18   12.18  0e+00   7214.1   12.35   12.35  4e+09
    90177544      22544386     int32   7440.4   12.12   12.12  0e+00   7258.8   12.42   12.42  4e+09
    91226120      22806530     int32   7508.6   12.15   12.15  0e+00   7430.4   12.28   12.28  4e+09
    92274696      23068674     int32   7607.1   12.13   12.13  0e+00   7483.8   12.33   12.33  4e+09
    93323272      23330818     int32   7688.5   12.14   12.14  0e+00   7516.0   12.42   12.42  4e+09
    94371848      23592962     int32   7726.3   12.21   12.21  0e+00   7587.2   12.44   12.44  4e+09
    95420424      23855106     int32   7886.8   12.10   12.10  0e+00   7750.6   12.31   12.31  4e+09
    96469000      24117250     int32   7940.0   12.15   12.15  0e+00   7794.6   12.38   12.38  4e+09
    97517576      24379394     int32   8036.6   12.13   12.13  0e+00   7921.9   12.31   12.31  4e+09
    98566152      24641538     int32   8084.5   12.19   12.19  0e+00   7898.0   12.48   12.48  4e+09
    99614728      24903682     int32   8107.1   12.29   12.29  0e+00   8070.6   12.34   12.34  4e+09
   100663304      25165826     int32   8208.7   12.26   12.26  0e+00   8212.3   12.26   12.26  4e+09
   101711880      25427970     int32   8297.6   12.26   12.26  0e+00   8205.4   12.40   12.40  4e+09
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 9.17321 
